College Name,Undergraduate Pop.,Admit Rate
Terra State Community College,2243,open admission
Teterboro School of Aeronautics,254,open admission
Texarkana College,4250,open admission
Texas A & M International University,6799,50%
Texas A & M University-Central Texas,1940,not reported
Texas A & M University-College Station,53065,71%
Texas A & M University-Commerce,8494,35%
Texas A & M University-Corpus Christi,10170,60%
Texas A & M University-Kingsville,6785,84%
-9999,-9999,-9999
Texas A&M University-San Antonio,5401,35%
Texas A&M University-Texarkana,1610,54%
Texas Barber College,550,open admission
Texas Beauty College,49,open admission
Texas Chiropractic College Foundation Inc,0,not reported
Texas Christian University,9011,41%
Texas College,992,open admission
Texas College of Cosmetology-Abilene,73,open admission
Texas College of Cosmetology-Lubbock,58,open admission
Texas College of Cosmetology-San Angelo,63,open admission
Texas County Technical College,54,86%
Texas Health and Science University,17,not reported
Texas Health School,122,open admission
Texas Lutheran University,1359,49%
Texas Southern University,7967,67%
Texas Southmost College,6216,open admission
Texas State Technical College,12717,open admission
Texas State University,34180,73%
Texas Tech University,30737,69%
Texas Tech University Health Sciences Center,1597,not reported
-9999,-9999,-9999
Texas Wesleyan University,1674,34%
Texas Woman's University,10310,86%
Textures Institute of Cosmetology,20,open admission
Thaddeus Stevens College of Technology,1142,89%
Thanh Le College School of Cosmetology,42,open admission
The  Beauty Institute,28,open admission
The Academy of Hair Design Six,57,open admission
The Academy of Radio and TV Broadcasting,14,open admission
The Ailey School,113,48%
The Art Institute of Atlanta,1582,open admission
The Art Institute of Austin,638,open admission
The Art Institute of Charleston,316,open admission
The Art Institute of Charlotte,451,open admission
The Art Institute of Cincinnati-AIC College of Design,20,41%
The Art Institute of Colorado,611,open admission
The Art Institute of Fort Lauderdale,651,open admission
The Art Institute of Houston,1096,open admission
The Art Institute of Indianapolis,536,open admission
The Art Institute of Las Vegas,683,open admission
The Art Institute of Michigan,532,open admission
-9999,-9999,-9999
-9999,-9999,-9999
The Art Institute of Philadelphia,842,open admission
The Art Institute of Phoenix,652,open admission
The Art Institute of Pittsburgh,431,open admission
The Art Institute of Pittsburgh-Online Division,2940,open admission
The Art Institute of Portland,491,open admission
The Art Institute of Raleigh-Durham,370,open admission
-9999,-9999,-9999
The Art Institute of San Antonio,747,open admission
The Art Institute of Seattle,857,open admission
-9999,-9999,-9999
The Art Institute of Tennessee-Nashville,395,open admission
-9999,-9999,-9999
The Art Institute of Virginia Beach,370,open admission
The Art Institute of Washington,498,open admission
-9999,-9999,-9999
-9999,-9999,-9999
-9999,-9999,-9999
-9999,-9999,-9999
-9999,-9999,-9999
The Artisan College of Cosmetology,19,open admission
The Baptist College of Florida,405,62%
The Barber School,125,open admission
The Beauty Institute,42,open admission
The Beauty Institute-Ambler,115,open admission
The Beauty School,21,not reported
The Beauty School,27,open admission
The Chicago School of Professional Psychology at Chicago,0,not reported
The Chicago School of Professional Psychology at Irvine,0,not reported
The Chicago School of Professional Psychology at Los Angeles,138,36%
The Chicago School of Professional Psychology at San Diego,0,not reported
The Chicago School of Professional Psychology at Washington DC,0,not reported
The Chicago School of Professional Psychology at Xavier University of Louisiana,0,not reported
The Christ College of Nursing and Health Sciences,914,51%
The Chrysm Insitute of Esthetics,126,open admission
The Colburn Conservatory of Music,57,6%
The Collective School Of Music,32,open admission
The College of Health Care Professions-Austin,372,open admission
The College of Health Care Professions-Dallas,56,open admission
The College of Health Care Professions-Fort Worth,503,open admission
The College of Health Care Professions-McAllen Campus,384,open admission
The College of Health Care Professions-Northwest,1402,open admission
The College of Health Care Professions-San Antonio,335,open admission
The College of Health Care Professions-Southwest Houston,440,open admission
The College of Idaho,936,76%
The College of New Jersey,6955,48%
The College of New Rochelle,2538,68%
The College of Saint Rose,2504,83%
The College of Saint Scholastica,2676,68%
The College of Westchester,916,98%
The College of Wooster,1980,56%
The Creative Center,51,65%
The Creative Circus,227,open admission
-9999,-9999,-9999
The Esthetic Institute,147,open admission
The Evergreen State College,3610,96%
The Fab School,172,open admission
The General Theological Seminary,0,not reported
The Hair Academy,55,open admission
The Healthcare Institute,90,not reported
The Illinois Institute of Art-Chicago,753,open admission
The Illinois Institute of Art-Schaumburg,383,open admission
The Institute of Beauty and Wellness,213,open admission
The International Culinary Center,462,open admission
The John Marshall Law School,0,not reported
The Juilliard School,566,6%
The King's College,555,41%
The King's University,400,52%
The Landing School,54,open admission
The Master's University and Seminary,1344,66%
The New England Conservatory of Music,436,33%
-9999,-9999,-9999
The New School,7125,62%
The Ohio Media School-Columbus,107,92%
The Professional Hair Design Academy,46,open admission
The Recording Conservatory of Austin,43,open admission
The Restaurant School at Walnut Hill College,334,97%
The Sage Colleges,1305,56%
The Salon Professional Academy,48,open admission
The Salon Professional Academy,47,open admission
The Salon Professional Academy,71,open admission
The Salon Professional Academy,22,open admission
The Salon Professional Academy,18,open admission
The Salon Professional Academy-Altoona,69,open admission
The Salon Professional Academy-Appleton,52,open admission
The Salon Professional Academy-Colorado Springs,69,open admission
The Salon Professional Academy-Evansville,114,open admission
The Salon Professional Academy-Fargo,103,open admission
The Salon Professional Academy-Ft Myers,56,open admission
The Salon Professional Academy-Grand Junction,62,open admission
The Salon Professional Academy-Huntsville,57,open admission
The Salon Professional Academy-Kenosha,89,open admission
The Salon Professional Academy-Lewisville,97,open admission
The Salon Professional Academy-Melbourne,73,open admission
The Salon Professional Academy-Nashville,36,open admission
The Salon Professional Academy-North Little Rock,95,open admission
The Salon Professional Academy-Onalaska,72,open admission
The Salon Professional Academy-San Jose,146,open admission
The Salon Professional Academy-Shorewood,71,open admission
The Salon Professional Academy-St Charles,131,open admission
The Salon Professional Academy-Tonawanda,131,open admission
The Salter School-Malden Campus,259,open admission
The Santa Barbara and Ventura Colleges of Law at Santa Barbara,0,not reported
The Santa Barbara and Ventura Colleges of Law at Ventura,0,not reported
The Seattle School of Theology & Psychology,0,not reported
The Southern Baptist Theological Seminary,1066,78%
The Spa School,107,open admission
The Temple Annapolis-A Paul Mitchell Partner School,176,open admission
The Temple-A Paul Mitchell Partner School,183,open admission
The Training Domain,4,open admission
The University of Aesthetics & Cosmetology,35,open admission
The University of Alabama,33305,53%
-9999,-9999,-9999
The University of Findlay,3562,75%
The University of Montana,9323,93%
The University of Montana-Western,1538,61%
The University of Tampa,7971,53%
The University of Tennessee-Chattanooga,10176,83%
The University of Tennessee-Health Science Center,341,not reported
The University of Tennessee-Knoxville,22317,77%
The University of Tennessee-Martin,6330,62%
The University of Texas at Arlington,33307,71%
The University of Texas at Austin,40492,36%
The University of Texas at Dallas,18470,76%
The University of Texas at El Paso,21341,100%
The University of Texas at San Antonio,26444,79%
The University of Texas at Tyler,7440,65%
The University of Texas Health Science Center at Houston,709,not reported
The University of Texas Health Science Center at San Antonio,807,not reported
The University of Texas MD Anderson Cancer Center,321,not reported
The University of Texas Medical Branch,733,not reported
The University of Texas of the Permian Basin,6065,89%
The University of Texas Rio Grande Valley,24220,80%
-9999,-9999,-9999
The University of the Arts,1681,74%
The University of Virginia's College at Wise,2095,78%
The University of West Florida,10002,50%
The Vocational Nursing Institute Inc,9,open admission
The Workforce Institute's City College,23,100%
The Wright Institute,0,not reported
Theatre of Arts,53,27%
Theological Seminary of the Reformed Episcopal Church,0,not reported
Thiel College,766,63%
Thomas Aquinas College,369,72%
Thomas College,1663,open admission
Thomas Edison State University,11141,open admission
Thomas Jefferson School of Law,0,not reported
Thomas Jefferson University,816,not reported
Thomas More College,1880,91%
Thomas More College of Liberal Arts,90,100%
Thomas Nelson Community College,8286,open admission
Thomas University,1118,23%
Three Rivers College,3226,open admission
Three Rivers Community College,4187,open admission
Thunderbird School of Global Management,0,not reported
Thuy Princess Beauty College,53,open admission
Tidewater Community College,22776,open admission
Tidewater Tech-Trades,359,open admission
Tiffin Academy of Hair Design,34,open admission
Tiffin University,2243,69%
Tillamook Bay Community College,227,open admission
Tint School of Makeup & Cosmetology-Seattle,74,open admission
Tint School of Makeup and Cosmetology-Dallas,123,open admission
Tint School of Makeup and Cosmetology-Irving,104,open admission
Toccoa Falls College,1411,59%
Tohono O'Odham Community College,400,open admission
Toledo Academy of Beauty Culture-East,91,open admission
Toledo Public Schools Adult and Continuing Education,110,86%
Tom P Haney Technical Center,422,open admission
Tomorrow's Image Barber And Beauty Academy of Virginia,15,open admission
Tompkins Cortland Community College,2632,open admission
Toni & Guy Hairdressing Academy-Albuquerque,177,open admission
Toni & Guy Hairdressing Academy-Atlanta,87,open admission
Toni & Guy Hairdressing Academy-Colorado Springs,267,open admission
Toni & Guy Hairdressing Academy-Cranston,135,open admission
Toni & Guy Hairdressing Academy-Jacksonville,30,open admission
Toni & Guy Hairdressing Academy-Manteca,9,open admission
Toni & Guy Hairdressing Academy-Modesto,7,open admission
Toni & Guy Hairdressing Academy-Plano,226,open admission
Toni & Guy Hairdressing Academy-Santa Monica,222,open admission
Toni & Guy Hairdressing Academy-Shoreline,79,open admission
Toni & Guy Hairdressing Academy-Worcester,215,open admission
Tooele Technical College,446,open admission
Top Nails & Hair Beauty School,30,open admission
Top of the Line Barber College,18,open admission
Torah Temimah Talmudical Seminary,66,92%
Total Image Beauty Academy,263,open admission
-9999,-9999,-9999
Total Transformation Institute of Cosmetology,42,open admission
Totally Cosmo School of Modern Cosmetology,31,open admission
Tougaloo College,793,75%
Touro College,6426,74%
Touro University California,0,not reported
Touro University Nevada,18,not reported
Touro University Worldwide,538,open admission
Towson University,19596,77%
Toyota Technological Institute at Chicago,0,not reported
Transformed Barber and Cosmetology Academy,38,open admission
Transylvania University,966,95%
Travel Institute of the Pacific,66,open admission
Traviss Technical College,340,open admission
Traxlers School of Hair,60,open admission
Treasure Valley Community College,1793,open admission
Trend Barber College,92,open admission
Trend Barber College,38,open admission
Trend Setters' Academy of Beauty Culture-Elizabethtown,19,open admission
Trend Setters' Academy of Beauty Culture-Louisville,36,open admission
Trend Setters' Academy of Beauty Culture-Louisville,44,open admission
Trendsetters School of Beauty & Barbering,26,open admission
Trenz Beauty Academy,125,open admission
Trevecca Nazarene University,2219,70%
Tri County Regional Vocational Technical High School,61,open admission
Tri-Community Adult Education,286,open admission
Tri-County Adult Career Center,67,open admission
Tri-County Beauty Academy,13,open admission
Tri-County Community College,1026,open admission
Tri-County Technical College,6069,open admission
Tri-Rivers Career Center,182,open admission
Tri-State Barber College,18,open admission
Tri-State Bible College,35,open admission
Tri-State College of Acupuncture,0,not reported
Tri-State Cosmetology Institute,175,open admission
Tri-State Institute of Hair Design,36,open admission
Triangle Tech Inc-Bethlehem,115,open admission
Triangle Tech Inc-Dubois,143,open admission
Triangle Tech Inc-Erie,61,open admission
Triangle Tech Inc-Greensburg,121,open admission
Triangle Tech Inc-Pittsburgh,144,open admission
Triangle Tech Inc-Sunbury,76,open admission
Tribeca Flashpoint College,314,39%
Tricoci University of Beauty Culture-Bridgeview,227,open admission
Tricoci University of Beauty Culture-Chicago NE,92,open admission
Tricoci University of Beauty Culture-Chicago NW,206,open admission
Tricoci University of Beauty Culture-Danville,62,open admission
Tricoci University of Beauty Culture-Elgin,129,open admission
Tricoci University of Beauty Culture-Glendale Heights,86,open admission
Tricoci University of Beauty Culture-Highland,237,open admission
Tricoci University of Beauty Culture-Indianapolis,179,open admission
Tricoci University of Beauty Culture-Janesville,21,open admission
Tricoci University of Beauty Culture-Lafayette,122,open admission
Tricoci University of Beauty Culture-Libertyville,151,open admission
Tricoci University of Beauty Culture-Peoria,124,open admission
Tricoci University of Beauty Culture-Rockford,191,open admission
Tricoci University of Beauty Culture-Urbana,69,open admission
Tricoci University of Beauty Cuture LLC-Bloomington,68,open admission
Trident Technical College,13271,open admission
Trident University International,4371,68%
Trine University,4098,70%
-9999,-9999,-9999
Trine University-Regional/Non-Traditional Campuses,368,open admission
Trinidad State Junior College,1663,open admission
Trinity Baptist College,353,34%
Trinity Bible College and Graduate School,191,42%
Trinity Christian College,1107,83%
Trinity College,2221,34%
Trinity College of Florida,189,92%
Trinity College of Nursing & Health Sciences,213,not reported
Trinity College of Puerto Rico,149,open admission
Trinity Episcopal School for Ministry,0,not reported
Trinity Health System School of Nursing,86,85%
Trinity International University-Florida,156,open admission
Trinity International University-Illinois,934,75%
Trinity Law School,0,not reported
Trinity Lutheran Seminary,0,not reported
Trinity School of Health and Allied Sciences,113,76%
Trinity University,2395,38%
Trinity Valley Community College,4449,open admission
Trinity Washington University,1534,92%
Triton College,10672,open admission
Trocaire College,1399,open admission
Troy University,14000,88%
Truckee Meadows Community College,10720,open admission
Truett McConnell University,2573,95%
Truman State University,5898,67%
-9999,-9999,-9999
Trumbull Career & Technical Center,111,open admission
-9999,-9999,-9999
Tucson College of Beauty,69,open admission
Tufts University,5541,15%
Tulane University of Louisiana,7871,21%
Tulsa Community College,16897,open admission
Tulsa Technology Center,4116,open admission
Tulsa Welding School-Houston,1177,open admission
Tulsa Welding School-Jacksonville,934,open admission
Tulsa Welding School-Jacksonville,182,open admission
Tulsa Welding School-Tulsa,926,open admission
Tunxis Community College,3857,open admission
Turning Point Beauty College,160,open admission
Turtle Mountain Community College,567,open admission
Tusculum College,1488,89%
Tuskegee University,2833,50%
Twin City Beauty College,276,open admission
Tyler Junior College,11649,open admission
U S Grant Joint Vocational School,33,open admission
U.S. Truck Driver Training School,172,open admission
UCAS Univeristy of Cosmetology Arts & Sciences-La Joya,60,open admission
UCAS University of Cosemtology Arts & Sciences-McAllen,156,open admission
UCAS University of Cosmetology Arts & Sciences,26,open admission
UCAS University of Cosmetology Arts & Sciences-Harlingen,105,open admission
UCAS University of Cosmetology Arts & Sciences-San Antonio 410,60,open admission
UEI College-Bakersfield,840,open admission
UEI College-Fresno,903,open admission
UEI College-Gardena,727,open admission
UEI College-Riverside,629,open admission
Uintah Basin Technical College,1239,open admission
Ukiah Adult School,37,36%
Ulster BOCES School of Practical Nursing,65,46%
Ulster County Community College,3560,open admission
Ultimate Medical Academy-Clearwater,18563,open admission
-9999,-9999,-9999
Ultimate Touch Barber College,39,open admission
Ultrasound Medical Institute,89,open admission
Umpqua Community College,1909,open admission
Unification Theological Seminary,0,not reported
Unilatina International College,76,open admission
Union College,1094,63%
Union College,2267,37%
Union College,781,60%
Union County College,9711,open admission
Union County Vocational Technical School,84,open admission
Union Institute & University,813,open admission
Union Presbyterian Seminary,0,not reported
Union Theological Seminary in the City of New York,0,not reported
Union University,2181,60%
Unitech Training Academy-Alexandria,82,open admission
Unitech Training Academy-Baton Rouge,70,open admission
Unitech Training Academy-Houma,63,open admission
Unitech Training Academy-Lafayette,168,open admission
Unitech Training Academy-Lake Charles,84,open admission
Unitech Training Academy-Metairie,77,open admission
Unitech Training Academy-West Monroe,78,open admission
United Beauty College,23,open admission
United Education Institute-Anaheim,643,open admission
United Education Institute-Chula Vista,498,open admission
United Education Institute-Encino,623,open admission
United Education Institute-Huntington Park Campus,658,open admission
United Education Institute-Morrow,517,open admission
United Education Institute-Ontario,410,open admission
United Education Institute-UEI College San Marcos,312,open admission
United Education Institute-UEI College Stockton,492,open admission
United Education Institute-West Covina,574,open admission
United Lutheran Seminary,0,not reported
United States Air Force Academy,4276,12%
United States Coast Guard Academy,1044,15%
United States Merchant Marine Academy,954,22%
United States Military Academy,4491,10%
United States Naval Academy,4495,8%
United States Sports Academy,103,not reported
United States University,99,open admission
United Talmudical Seminary,1944,open admission
United Technical Center,25,100%
United Theological Seminary,0,not reported
United Theological Seminary of the Twin Cities,0,not reported
United Tribes Technical College,315,open admission
Unitek College,159,open admission
Unitek College,2715,open admission
Unitek College,249,open admission
Unity College,704,89%
Unity Cosmetology College,25,open admission
UnityPoint Health-Des Moines School of Radiologic Technology,18,not reported
Universal Career School,231,open admission
-9999,-9999,-9999
Universal College of Beauty Inc-Los Angeles 2,26,open admission
Universal College of Healing Arts,46,open admission
Universal Healthcare Careers College,70,82%
Universal Spa Training Academy,101,open admission
Universal Technical Institute - Dallas Fort Worth,1167,open admission
Universal Technical Institute of Arizona Inc,1860,open admission
Universal Technical Institute of Arizona Inc-Motorcycle Mechanics Institute Division,1020,open admission
Universal Technical Institute of California Inc,1273,open admission
Universal Technical Institute of Illinois Inc,1077,open admission
Universal Technical Institute of Massachusetts Inc,547,open admission
Universal Technical Institute of Northern California Inc,1310,open admission
Universal Technical Institute of Pennsylvania Inc,1311,open admission
Universal Technical Institute of Texas Inc.,1518,open admission
Universal Technical Institute-Auto Motorcycle & Marine Mechanics Institute Division-Orlando,2236,open admission
Universal Technical Institute-Southern California,947,open admission
Universal Technology College of Puerto Rico,285,open admission
Universal Therapeutic Massage Institute,106,open admission
Universal Training Institute,140,open admission
Universidad Adventista de las Antillas,1173,96%
Universidad Ana G. Mendez,0,not reported
Universidad Central de Bayamon,1424,87%
Universidad Central Del Caribe,136,77%
Universidad del Este,10140,open admission
Universidad del Sagrado Corazon,4376,41%
Universidad del Turabo,14061,open admission
Universidad Internacional Iberoamericana,0,not reported
Universidad Metropolitana,10617,open admission
Universidad Pentecostal Mizpa,286,open admission
Universidad Politecnica de Puerto Rico,3494,open admission
Universidad Teologica del Caribe,278,open admission
University Academy of Hair Design,50,open admission
University at Buffalo,21020,57%
University of Advancing Technology,772,85%
University of Aesthetics & Cosmetology,30,open admission
University of Akron Main Campus,16872,93%
University of Akron Wayne College,1796,open admission
University of Alabama at Birmingham,13134,92%
University of Alabama in Huntsville,7090,81%
-9999,-9999,-9999
University of Alaska Anchorage,14955,83%
University of Alaska Fairbanks,6639,77%
University of Alaska Southeast,2060,71%
-9999,-9999,-9999
University of Antelope Valley,672,open admission
University of Arizona,34101,84%
University of Arizona-South,417,not reported
University of Arkansas,23044,66%
University of Arkansas at Little Rock,8793,75%
University of Arkansas at Monticello,3417,open admission
University of Arkansas at Pine Bluff,2517,47%
University of Arkansas Community College Rich Mountain,938,open admission
University of Arkansas Community College-Batesville,1246,open admission
University of Arkansas Community College-Hope,1536,open admission
University of Arkansas Community College-Morrilton,1921,75%
University of Arkansas for Medical Sciences,646,not reported
-9999,-9999,-9999
University of Arkansas-Fort Smith,6620,open admission
University of Arkansas-Pulaski Technical College,6038,open admission
University of Baltimore,2949,81%
University of Bridgeport,3129,54%
University of California-Berkeley,30574,17%
University of California-Davis,30066,43%
University of California-Hastings College of Law,0,not reported
University of California-Irvine,29307,37%
University of California-Los Angeles,31002,16%
University of California-Merced,7375,70%
University of California-Riverside,20073,57%
University of California-San Diego,28587,34%
University of California-San Francisco,0,not reported
University of California-Santa Barbara,22186,33%
University of California-Santa Cruz,17577,51%
-9999,-9999,-9999
University of Central Arkansas,9548,90%
University of Central Florida,56853,50%
University of Central Missouri,9801,84%
University of Central Oklahoma,14343,76%
University of Charleston,1831,64%
University of Chicago,6310,9%
University of Cincinnati-Blue Ash College,4779,open admission
University of Cincinnati-Clermont College,2799,open admission
University of Cincinnati-Main Campus,26559,76%
University of Colorado Boulder,29056,80%
University of Colorado Colorado Springs,10808,93%
University of Colorado Denver/Anschutz Medical Campus,15586,65%
-9999,-9999,-9999
University of Connecticut,19241,48%
University of Connecticut-Avery Point,657,94%
University of Connecticut-Hartford Campus,1279,96%
University of Connecticut-Stamford,1796,82%
University of Connecticut-Waterbury Campus,872,96%
University of Dallas,1450,47%
University of Dayton,8499,72%
University of Delaware,19750,63%
University of Denver,5765,58%
University of Detroit Mercy,2843,65%
University of Dubuque,1958,74%
University of East-West Medicine,0,not reported
University of Evansville,2342,70%
University of Florida,35247,42%
University of Florida-Online,2865,68%
University of Fort Lauderdale,58,open admission
University of Georgia,28848,54%
University of Guam,3581,open admission
University of Hartford,5069,81%
University of Hawaii at Hilo,2971,78%
University of Hawaii at Manoa,12881,83%
University of Hawaii Maui College,3302,open admission
-9999,-9999,-9999
University of Hawaii-West Oahu,3082,79%
University of Holy Cross,912,46%
University of Houston,37215,61%
University of Houston-Clear Lake,5798,72%
University of Houston-Downtown,12407,84%
-9999,-9999,-9999
University of Houston-Victoria,3273,49%
University of Idaho,9885,73%
University of Illinois at Chicago,19448,77%
University of Illinois at Springfield,2932,52%
University of Illinois at Urbana-Champaign,33955,62%
-9999,-9999,-9999
University of Indianapolis,4488,82%
University of Iowa,24503,86%
University of Jamestown,914,65%
University of Kansas,19338,93%
University of Kentucky,22425,96%
University of La Verne,5168,48%
University of Louisiana at Lafayette,15666,51%
University of Louisiana at Monroe,7948,75%
-9999,-9999,-9999
University of Louisville,15546,75%
University of Maine,9279,92%
University of Maine at Augusta,4014,open admission
University of Maine at Farmington,1811,83%
University of Maine at Fort Kent,1760,97%
University of Maine at Machias,701,open admission
University of Maine at Presque Isle,1414,95%
-9999,-9999,-9999
University of Management and Technology,917,open admission
University of Mary,2237,76%
University of Mary Hardin-Baylor,3333,79%
University of Mary Washington,4398,73%
University of Maryland Eastern Shore,2861,39%
"University of Maryland, Baltimore",929,not reported
University of Maryland-Baltimore County,11234,60%
University of Maryland-College Park,29868,45%
University of Maryland-University College,45604,open admission
University of Massachusetts Medical School Worcester,0,not reported
University of Massachusetts-Amherst,23388,58%
University of Massachusetts-Boston,12660,75%
-9999,-9999,-9999
University of Massachusetts-Dartmouth,6763,84%
University of Massachusetts-Lowell,14012,69%
University of Memphis,17396,85%
University of Miami,10832,36%
University of Michigan-Ann Arbor,29821,27%
University of Michigan-Dearborn,7132,64%
University of Michigan-Flint,6434,65%
University of Minnesota-Crookston,2834,69%
University of Minnesota-Duluth,10118,77%
University of Minnesota-Morris,1627,64%
University of Minnesota-Rochester,472,51%
University of Minnesota-Twin Cities,35433,50%
University of Mississippi,18737,84%
University of Missouri-Columbia,23799,78%
University of Missouri-Kansas City,11372,64%
University of Missouri-St Louis,13787,76%
-9999,-9999,-9999
University of Mobile,1443,47%
University of Montevallo,2346,64%
University of Mount Olive,3207,49%
University of Mount Union,2095,81%
University of Nebraska at Kearney,4843,82%
University of Nebraska at Omaha,12624,87%
University of Nebraska Medical Center,860,not reported
-9999,-9999,-9999
University of Nebraska-Lincoln,20954,64%
University of Nevada-Las Vegas,25279,81%
University of Nevada-Reno,18348,88%
University of New England,4423,81%
University of New Hampshire at Manchester,737,61%
University of New Hampshire-Main Campus,13005,77%
University of New Hampshire-School of Law,0,not reported
University of New Haven,5216,88%
University of New Mexico-Gallup Campus,2194,open admission
University of New Mexico-Los Alamos Campus,918,open admission
University of New Mexico-Main Campus,20354,67%
University of New Mexico-Taos Campus,1360,open admission
University of New Mexico-Valencia County Campus,2097,open admission
University of New Orleans,6472,57%
University of North Alabama,6064,70%
University of North Carolina at Asheville,3826,80%
University of North Carolina at Chapel Hill,18862,24%
University of North Carolina at Charlotte,23914,66%
University of North Carolina at Greensboro,16439,78%
University of North Carolina at Pembroke,5481,81%
University of North Carolina School of the Arts,873,33%
-9999,-9999,-9999
University of North Carolina Wilmington,14502,67%
University of North Dakota,11000,83%
University of North Florida,14255,59%
University of North Georgia,18173,78%
University of North Texas,31448,72%
University of North Texas at Dallas,2687,74%
University of North Texas Health Science Center,0,not reported
-9999,-9999,-9999
University of Northern Colorado,10092,89%
University of Northern Iowa,9961,81%
University of Northwestern Ohio,3655,open admission
University of Northwestern-St Paul,3328,93%
University of Notre Dame,8576,19%
University of Oklahoma-Health Sciences Center,786,not reported
University of Oklahoma-Norman Campus,22032,74%
University of Oregon,19340,83%
University of Pennsylvania,11716,9%
University of Phoenix-Alabama,14,not reported
University of Phoenix-Arizona,80898,open admission
University of Phoenix-Arkansas,26,not reported
University of Phoenix-California,8125,open admission
University of Phoenix-Colorado,225,open admission
-9999,-9999,-9999
University of Phoenix-Florida,592,open admission
University of Phoenix-Georgia,408,open admission
University of Phoenix-Hawaii,661,open admission
University of Phoenix-Idaho,5,not reported
University of Phoenix-Illinois,134,open admission
University of Phoenix-Indiana,19,not reported
-9999,-9999,-9999
University of Phoenix-Kentucky,18,not reported
University of Phoenix-Louisiana,56,not reported
University of Phoenix-Maryland,29,not reported
University of Phoenix-Massachusetts,22,not reported
University of Phoenix-Michigan,132,open admission
-9999,-9999,-9999
University of Phoenix-Missouri,73,not reported
University of Phoenix-Nevada,477,open admission
University of Phoenix-New Jersey,111,open admission
University of Phoenix-New Mexico,217,open admission
University of Phoenix-North Carolina,133,open admission
University of Phoenix-Ohio,29,not reported
University of Phoenix-Oklahoma,12,not reported
University of Phoenix-Oregon,18,not reported
University of Phoenix-Pennsylvania,141,open admission
University of Phoenix-Puerto Rico,44,not reported
University of Phoenix-South Carolina,38,not reported
University of Phoenix-Tennessee,201,not reported
University of Phoenix-Texas,1374,open admission
University of Phoenix-Utah,122,open admission
University of Phoenix-Virginia,191,open admission
University of Phoenix-Washington,138,open admission
University of Phoenix-Washington DC,70,open admission
University of Phoenix-Wisconsin,11,not reported
University of Pikeville,1560,100%
University of Pittsburgh Medical Center-Shadyside School of Nursing,244,100%
University of Pittsburgh-Bradford,1336,54%
University of Pittsburgh-Greensburg,1523,73%
University of Pittsburgh-Johnstown,2784,76%
University of Pittsburgh-Pittsburgh Campus,19326,60%
University of Pittsburgh-Titusville,295,63%
University of Portland,3883,70%
University of Providence,930,62%
University of Puerto Rico-Aguadilla,3426,71%
University of Puerto Rico-Arecibo,3799,37%
University of Puerto Rico-Bayamon,4531,61%
University of Puerto Rico-Carolina,3792,32%
University of Puerto Rico-Cayey,3496,76%
-9999,-9999,-9999
University of Puerto Rico-Humacao,3723,38%
University of Puerto Rico-Mayaguez,12486,74%
University of Puerto Rico-Medical Sciences,341,not reported
University of Puerto Rico-Ponce,3150,33%
University of Puerto Rico-Rio Piedras,11981,40%
University of Puerto Rico-Utuado,1154,35%
University of Puget Sound,2413,84%
University of Redlands,3130,75%
University of Rhode Island,15107,70%
University of Richmond,3265,33%
University of Rio Grande,1753,open admission
University of Rochester,6546,34%
University of Saint Francis-Fort Wayne,1906,99%
University of Saint Joseph,810,90%
-9999,-9999,-9999
University of Saint Mary,748,49%
University of Saint Mary of the Lake,0,not reported
University of San Diego,5774,50%
University of San Francisco,6845,66%
University of Science and Arts of Oklahoma,882,52%
University of Scranton,3810,75%
University of Sioux Falls,1215,92%
University of South Alabama,10988,82%
University of South Carolina-Aiken,3354,53%
University of South Carolina-Beaufort,2077,64%
University of South Carolina-Columbia,26362,72%
University of South Carolina-Lancaster,1910,65%
University of South Carolina-Salkehatchie,1011,59%
University of South Carolina-Sumter,1002,69%
University of South Carolina-Union,903,75%
University of South Carolina-Upstate,5775,58%
University of South Dakota,7648,87%
University of South Florida-Main Campus,31772,45%
University of South Florida-Sarasota-Manatee,1935,39%
University of South Florida-St Petersburg,4251,40%
University of Southern California,19170,16%
University of Southern Indiana,9688,94%
University of Southern Maine,6110,83%
University of Southern Mississippi,11815,98%
University of Spa & Cosmetology Arts,142,open admission
University of St Francis,1599,52%
University of St Thomas,1816,81%
University of St Thomas,6199,84%
University of St. Augustine for Health Sciences,0,not reported
University of Texas Health Science Center at Tyler,0,not reported
University of Texas Southwestern Medical Center,0,not reported
University of the Cumberlands,3315,74%
University of the District of Columbia,3859,open admission
University of the District of Columbia-David A Clarke School of Law,0,not reported
University of the Incarnate Word,5994,94%
University of the Ozarks,755,89%
University of the Pacific,3548,65%
University of the People,1632,open admission
University of the Potomac-VA Campus,37,open admission
University of the Potomac-Washington DC Campus,72,open admission
University of the Rockies,0,not reported
University of the Sciences,1277,61%
University of the Southwest,509,35%
University of the Virgin Islands,1898,98%
University of the West,185,open admission
University of Toledo,16194,94%
University of Tulsa,3343,39%
University of Utah,24635,66%
University of Valley Forge,704,53%
University of Vermont,11339,67%
University of Virginia-Main Campus,16655,27%
University of Washington-Bothell Campus,5365,80%
University of Washington-Seattle Campus,31331,46%
University of Washington-Tacoma Campus,4436,84%
University of West Alabama,2111,28%
University of West Georgia,11229,59%
University of West Los Angeles,-9999,not reported
University of Western States,48,open admission
University of Wisconsin Colleges,11486,79%
University of Wisconsin Colleges Flex,54,80%
